id;name;email;uuid
1;Elia Neve;eneve0@over-blog.com;febddff7-2bf0-409f-9950-1fe04557ffa2
2;Greggory Alexis;galexis1@booking.com;1288e981-d395-435b-b8c4-830f3d840782
3;Kareem Gorrick;kgorrick2@yellowbook.com;f8cb0064-8a99-47a5-ad78-cbf1f8b5096c
4;Dee Ribbon;dribbon3@csmonitor.com;a3292c3f-d031-40ed-97ba-47f91b03cc8e
5;Leone Horbath;lhorbath4@abc.net.au;f956f08b-3610-4c2d-a92a-0a2b56d960ed
6;Rochell Martinovic;rmartinovic5@bloomberg.com;890288c1-ed55-45b4-bb69-3ebb481d8fdb
7;Eugen Culleton;eculleton6@newsvine.com;8159d4fb-c2cd-4d67-ac5e-9c0b8c85604f
8;Marcela Chastey;mchastey7@msu.edu;2abde2ea-4c85-4d3c-9f19-d9886f916309
9;Ferd Brayson;fbrayson8@va.gov;59177bab-2a53-45ec-9f5e-72808b764835
10;Anallise Meni;ameni9@wisc.edu;1b17a065-a990-4262-b95b-6fc33e474fd7
